text,reading,roles,predicate_frame,standalone_kind,provenance_ids
方案,ㄈㄤ1 ㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
收入,ㄕㄡ1 ㄖㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
高度,ㄍㄠ1 ㄉㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
相同,ㄒㄧㄤ1 ㄊㄨㄥ2,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
缺乏,ㄑㄩㄝ1 ㄈㄚ2,transitive-predicate,transitive,lexical-prompt,local:naer-top-10000-generation-v1
複雜,ㄈㄨ4 ㄗㄚ2,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
宗教,ㄗㄨㄥ1 ㄐㄧㄠ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
材料,ㄘㄞ2 ㄌㄧㄠ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
進步,ㄐㄧㄣ4 ㄅㄨ4,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
說法,ㄕㄨㄛ1 ㄈㄚ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
包含,ㄅㄠ1 ㄏㄢ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
和平,ㄏㄜ2 ㄆㄧㄥ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
火,ㄏㄨㄛ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
民間,ㄇㄧㄣ2 ㄐㄧㄢ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
民主,ㄇㄧㄣ2 ㄓㄨ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
陳,ㄔㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
球,ㄑㄧㄡ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
輛,ㄌㄧㄤ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
採取,ㄘㄞ3 ㄑㄩ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
規模,ㄍㄨㄟ1 ㄇㄛ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
公布,ㄍㄨㄥ1 ㄅㄨ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
雜誌,ㄗㄚ2 ㄓ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
汽車,ㄑㄧ4 ㄔㄜ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
大型,ㄉㄚ4 ㄒㄧㄥ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
擴大,ㄎㄨㄛ4 ㄉㄚ4,transitive-predicate,transitive,lexical-prompt,local:naer-top-10000-generation-v1
購買,ㄍㄡ4 ㄇㄞ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
出版,ㄔㄨ1 ㄅㄢ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
滿足,ㄇㄢ3 ㄗㄨ2,transitive-predicate,transitive,lexical-prompt,local:naer-top-10000-generation-v1
消費,ㄒㄧㄠ1 ㄈㄟ4,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
肉,ㄖㄡ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
氣候,ㄑㄧ4 ㄏㄡ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
批評,ㄆㄧ1 ㄆㄧㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
溫度,ㄨㄣ1 ㄉㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
校園,ㄒㄧㄠ4 ㄩㄢ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
貓,ㄇㄠ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
夫人,ㄈㄨ1 ㄖㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
地位,ㄉㄧ4 ㄨㄟ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
思想,ㄙ1 ㄒㄧㄤ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
現實,ㄒㄧㄢ4 ㄕ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
市民,ㄕ4 ㄇㄧㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
拒絕,ㄐㄩ4 ㄐㄩㄝ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
平台,ㄆㄧㄥ2 ㄊㄞ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
利益,ㄌㄧ4 ㄧ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
林,ㄌㄧㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
受傷,ㄕㄡ4 ㄕㄤ1,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
主張,ㄓㄨ3 ㄓㄤ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
森林,ㄙㄣ1 ㄌㄧㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
懷疑,ㄏㄨㄞ2 ㄧ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
旅行,ㄌㄩ3 ㄒㄧㄥ2,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
個性,ㄍㄜ4 ㄒㄧㄥ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
尋找,ㄒㄩㄣ2 ㄓㄠ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
接近,ㄐㄧㄝ1 ㄐㄧㄣ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
短,ㄉㄨㄢ3,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
觀點,ㄍㄨㄢ1 ㄉㄧㄢ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
失敗,ㄕ1 ㄅㄞ4,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
地點,ㄉㄧ4 ㄉㄧㄢ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
隨,ㄙㄨㄟ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
組成,ㄗㄨ3 ㄔㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
出生,ㄔㄨ1 ㄕㄥ1,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
物質,ㄨ4 ㄓ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
大眾,ㄉㄚ4 ㄓㄨㄥ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
主席,ㄓㄨ3 ㄒㄧ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
丈夫,ㄓㄤ4 ㄈㄨ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
讀者,ㄉㄨ2 ㄓㄜ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
女子,ㄋㄩ3 ㄗ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
發出,ㄈㄚ1 ㄔㄨ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
背景,ㄅㄟ4 ㄐㄧㄥ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
演員,ㄧㄢ3 ㄩㄢ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
措施,ㄘㄨㄛ4 ㄕ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
面積,ㄇㄧㄢ4 ㄐㄧ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
強烈,ㄑㄧㄤ2 ㄌㄧㄝ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
規劃,ㄍㄨㄟ1 ㄏㄨㄚ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
公分,ㄍㄨㄥ1 ㄈㄣ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
錯誤,ㄘㄨㄛ4 ㄨ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
工業,ㄍㄨㄥ1 ㄧㄝ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
款,ㄎㄨㄢ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
固定,ㄍㄨ4 ㄉㄧㄥ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
達成,ㄉㄚ2 ㄔㄥ2,transitive-predicate,transitive,lexical-prompt,local:naer-top-10000-generation-v1
聯合,ㄌㄧㄢ2 ㄏㄜ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
印度,ㄧㄣ4 ㄉㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
過來,ㄍㄨㄛ4 ㄌㄞ2,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
有限,ㄧㄡ3 ㄒㄧㄢ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
細胞,ㄒㄧ4 ㄅㄠ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
來源,ㄌㄞ2 ㄩㄢ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
舉,ㄐㄩ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
弟弟,ㄉㄧ4 ㄉㄧ5,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
形容,ㄒㄧㄥ2 ㄖㄨㄥ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
業務,ㄧㄝ4 ㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
種植,ㄓㄨㄥ4 ㄓ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
族群,ㄗㄨ2 ㄑㄩㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
形象,ㄒㄧㄥ2 ㄒㄧㄤ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
嘗試,ㄔㄤ2 ㄕ4,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
採用,ㄘㄞ3 ㄩㄥ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
清,ㄑㄧㄥ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
數量,ㄕㄨ4 ㄌㄧㄤ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
部門,ㄅㄨ4 ㄇㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
機車,ㄐㄧ1 ㄔㄜ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
知名,ㄓ1 ㄇㄧㄥ2,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
家族,ㄐㄧㄚ1 ㄗㄨ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
生長,ㄕㄥ1 ㄓㄤ3,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
赴,ㄈㄨ4,transitive-predicate,transitive,lexical-prompt,local:naer-top-10000-generation-v1
項目,ㄒㄧㄤ4 ㄇㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
都市,ㄉㄨ1 ㄕ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
機制,ㄐㄧ1 ㄓ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
預算,ㄩ4 ㄙㄨㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
培養,ㄆㄟ2 ㄧㄤ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
機關,ㄐㄧ1 ㄍㄨㄢ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
出發,ㄔㄨ1 ㄈㄚ1,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
民國,ㄇㄧㄣ2 ㄍㄨㄛ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
手術,ㄕㄡ3 ㄕㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
大樓,ㄉㄚ4 ㄌㄡ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
見到,ㄐㄧㄢ4 ㄉㄠ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
封,ㄈㄥ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
妹妹,ㄇㄟ4 ㄇㄟ5,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
帶領,ㄉㄞ4 ㄌㄧㄥ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
棵,ㄎㄜ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
東,ㄉㄨㄥ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
作家,ㄗㄨㄛ4 ㄐㄧㄚ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
關,ㄍㄨㄢ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
多數,ㄉㄨㄛ1 ㄕㄨ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
辦理,ㄅㄢ4 ㄌㄧ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
運作,ㄩㄣ4 ㄗㄨㄛ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
內部,ㄋㄟ4 ㄅㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
西方,ㄒㄧ1 ㄈㄤ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
整理,ㄓㄥ3 ㄌㄧ3,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
立場,ㄌㄧ4 ㄔㄤ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
小學,ㄒㄧㄠ3 ㄒㄩㄝ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
設置,ㄕㄜ4 ㄓ4,transitive-predicate,transitive,lexical-prompt,local:naer-top-10000-generation-v1
大小,ㄉㄚ4 ㄒㄧㄠ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
描述,ㄇㄧㄠ2 ㄕㄨ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
考試,ㄎㄠ3 ㄕ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
李,ㄌㄧ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
實現,ㄕ2 ㄒㄧㄢ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
藥物,ㄧㄠ4 ㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
男性,ㄋㄢ2 ㄒㄧㄥ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
年齡,ㄋㄧㄢ2 ㄌㄧㄥ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
中華,ㄓㄨㄥ1 ㄏㄨㄚ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
打算,ㄉㄚ3 ㄙㄨㄢ4,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
醫學,ㄧ1 ㄒㄩㄝ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
欣賞,ㄒㄧㄣ1 ㄕㄤ3,transitive-predicate,transitive,lexical-prompt,local:naer-top-10000-generation-v1
領導,ㄌㄧㄥ3 ㄉㄠ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
商業,ㄕㄤ1 ㄧㄝ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
銷售,ㄒㄧㄠ1 ㄕㄡ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
改,ㄍㄞ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
飛機,ㄈㄟ1 ㄐㄧ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
左,ㄗㄨㄛ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
設,ㄕㄜ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
恐怖,ㄎㄨㄥ3 ㄅㄨ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
情感,ㄑㄧㄥ2 ㄍㄢ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
路線,ㄌㄨ4 ㄒㄧㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
設施,ㄕㄜ4 ㄕ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
右,ㄧㄡ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
刀,ㄉㄠ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
權力,ㄑㄩㄢ2 ㄌㄧ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
給予,ㄐㄧ3 ㄩ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
中共,ㄓㄨㄥ1 ㄍㄨㄥ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
命,ㄇㄧㄥ4,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
基金,ㄐㄧ1 ㄐㄧㄣ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
承認,ㄔㄥ2 ㄖㄣ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
爭議,ㄓㄥ1 ㄧ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
陽光,ㄧㄤ2 ㄍㄨㄤ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
執政,ㄓ2 ㄓㄥ4,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
記錄,ㄐㄧ4 ㄌㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
優惠,ㄧㄡ1 ㄏㄨㄟ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
扮演,ㄅㄢ4 ㄧㄢ3,transitive-predicate,transitive,lexical-prompt,local:naer-top-10000-generation-v1
流行,ㄌㄧㄡ2 ㄒㄧㄥ2,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
年代,ㄋㄧㄢ2 ㄉㄞ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
優勢,ㄧㄡ1 ㄕ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
象徵,ㄒㄧㄤ4 ㄓㄥ1,transitive-predicate,transitive,lexical-prompt,local:naer-top-10000-generation-v1
民族,ㄇㄧㄣ2 ㄗㄨ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
學院,ㄒㄩㄝ2 ㄩㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
化學,ㄏㄨㄚ4 ㄒㄩㄝ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
軍事,ㄐㄩㄣ1 ㄕ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
參考,ㄘㄢ1 ㄎㄠ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
天然,ㄊㄧㄢ1 ㄖㄢ2,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
數字,ㄕㄨ4 ㄗ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
客戶,ㄎㄜ4 ㄏㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
資金,ㄗ1 ㄐㄧㄣ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
夏天,ㄒㄧㄚ4 ㄊㄧㄢ1,temporal,none,lexical-prompt,local:naer-top-10000-generation-v1
飛,ㄈㄟ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
周邊,ㄓㄡ1 ㄅㄧㄢ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
深入,ㄕㄣ1 ㄖㄨ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
研發,ㄧㄢ2 ㄈㄚ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
婚姻,ㄏㄨㄣ1 ㄧㄣ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
應用,ㄧㄥ4 ㄩㄥ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
機場,ㄐㄧ1 ㄔㄤ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
突破,ㄊㄨ2 ㄆㄛ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
程序,ㄔㄥ2 ㄒㄩ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
集中,ㄐㄧ2 ㄓㄨㄥ1,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
不久,ㄅㄨ4 ㄐㄧㄡ3,temporal,none,lexical-prompt,local:naer-top-10000-generation-v1
公路,ㄍㄨㄥ1 ㄌㄨ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
數據,ㄕㄨ4 ㄐㄩ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
日常,ㄖ4 ㄔㄤ2,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
威脅,ㄨㄟ1 ㄒㄧㄝ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
委員,ㄨㄟ3 ㄩㄢ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
最終,ㄗㄨㄟ4 ㄓㄨㄥ1,temporal,none,lexical-prompt,local:naer-top-10000-generation-v1
登記,ㄉㄥ1 ㄐㄧ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
生存,ㄕㄥ1 ㄘㄨㄣ2,intransitive-predicate,intransitive,lexical-prompt,local:naer-top-10000-generation-v1
法院,ㄈㄚ3 ㄩㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
此時,ㄘ3 ㄕ2,temporal,none,lexical-prompt,local:naer-top-10000-generation-v1
表面,ㄅㄧㄠ3 ㄇㄧㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
興建,ㄒㄧㄥ1 ㄐㄧㄢ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
將軍,ㄐㄧㄤ1 ㄐㄩㄣ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
指導,ㄓ3 ㄉㄠ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
教練,ㄐㄧㄠ4 ㄌㄧㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
差異,ㄔㄚ1 ㄧ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
保留,ㄅㄠ3 ㄌㄧㄡ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
新鮮,ㄒㄧㄣ1 ㄒㄧㄢ1,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
訪問,ㄈㄤ3 ㄨㄣ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
對手,ㄉㄨㄟ4 ㄕㄡ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
保存,ㄅㄠ3 ㄘㄨㄣ2,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
攝影,ㄕㄜ4 ㄧㄥ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
愛情,ㄞ4 ㄑㄧㄥ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
確認,ㄑㄩㄝ4 ㄖㄣ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
停止,ㄊㄧㄥ2 ㄓ3,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
營運,ㄧㄥ2 ㄩㄣ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
資產,ㄗ1 ㄔㄢ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
新竹,ㄒㄧㄣ1 ㄓㄨ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
抗議,ㄎㄤ4 ㄧ4,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,local:naer-top-10000-generation-v1
主人,ㄓㄨ3 ㄖㄣ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
核心,ㄏㄜ2 ㄒㄧㄣ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
婦女,ㄈㄨ4 ㄋㄩ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
具體,ㄐㄩ4 ㄊㄧ3,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
白色,ㄅㄞ2 ㄙㄜ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
預期,ㄩ4 ㄑㄧ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
少數,ㄕㄠ3 ㄕㄨ4,adjectival-predicate,adjectival,lexical-prompt,local:naer-top-10000-generation-v1
衛生,ㄨㄟ4 ㄕㄥ1,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
韓國,ㄏㄢ2 ㄍㄨㄛ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
貢獻,ㄍㄨㄥ4 ㄒㄧㄢ4,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
小組,ㄒㄧㄠ3 ㄗㄨ3,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
宣傳,ㄒㄩㄢ1 ㄔㄨㄢ2,subject;object,none,lexical-prompt,local:naer-top-10000-generation-v1
