batch_order,general_rank,text,reading_authority,reading_evidence_type,reading_evidence,decision,roles,predicate_frame,standalone_kind,rationale
157,848,積極,moe-concised,trainer-bopomofo,ㄐㄧ1 ㄐㄧ2,approved-existing-schema,adjectival-predicate,adjectival,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
158,850,醫生,moe-concised,trainer-bopomofo,ㄧ1 ㄕㄥ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
159,852,步,moe-concised,trainer-bopomofo,ㄅㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
160,855,人士,moe-concised,trainer-bopomofo,ㄖㄣ2 ㄕ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
161,857,它們,moe-concised,trainer-bopomofo,ㄊㄚ1 ㄇㄣ5,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
162,858,電視,moe-concised,trainer-bopomofo,ㄉㄧㄢ4 ㄕ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
163,859,醫療,moe-concised,trainer-bopomofo,ㄧ1 ㄌㄧㄠ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
164,861,居民,moe-concised,trainer-bopomofo,ㄐㄩ1 ㄇㄧㄣ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
165,864,會議,moe-concised,trainer-bopomofo,ㄏㄨㄟ4 ㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
166,865,系列,moe-concised,trainer-bopomofo,ㄒㄧ4 ㄌㄧㄝ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
167,869,階段,moe-concised,trainer-bopomofo,ㄐㄧㄝ1 ㄉㄨㄢ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
168,878,等等,moe-concised,trainer-bopomofo,ㄉㄥ3 ㄉㄥ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
169,883,員工,moe-concised,trainer-bopomofo,ㄩㄢ2 ㄍㄨㄥ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
170,885,電話,moe-concised,trainer-bopomofo,ㄉㄧㄢ4 ㄏㄨㄚ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
171,890,時期,moe-concised,trainer-bopomofo,ㄕ2 ㄑㄧ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
172,891,那樣,cedict-unique,numbered-pinyin,na4 yang4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
173,893,屆,moe-concised,trainer-bopomofo,ㄐㄧㄝ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
174,896,北京,cedict-unique,numbered-pinyin,Bei3 jing1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
175,897,人物,moe-concised,trainer-bopomofo,ㄖㄣ2 ㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
176,899,那裡,cedict-unique,numbered-pinyin,na4 li5,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
177,909,專家,moe-concised,trainer-bopomofo,ㄓㄨㄢ1 ㄐㄧㄚ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
178,910,畢業,moe-concised,trainer-bopomofo,ㄅㄧ4 ㄧㄝ4,approved-existing-schema,intransitive-predicate,intransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
179,914,倍,moe-concised,trainer-bopomofo,ㄅㄟ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
180,915,唯一,moe-concised,trainer-bopomofo,ㄨㄟ2 ㄧ1,approved-existing-schema,adjectival-predicate,adjectival,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
181,919,部落,moe-concised,trainer-bopomofo,ㄅㄨ4 ㄌㄨㄛ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
182,922,特色,moe-concised,trainer-bopomofo,ㄊㄜ4 ㄙㄜ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
183,924,基礎,moe-concised,trainer-bopomofo,ㄐㄧ1 ㄔㄨ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
184,926,米,moe-concised,trainer-bopomofo,ㄇㄧ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
185,927,國內,moe-concised,trainer-bopomofo,ㄍㄨㄛ2 ㄋㄟ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
186,930,程度,moe-concised,trainer-bopomofo,ㄔㄥ2 ㄉㄨ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
187,931,興趣,moe-concised,trainer-bopomofo,ㄒㄧㄥ4 ㄑㄩ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
188,932,北,moe-concised,trainer-bopomofo,ㄅㄟ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
189,937,心理,moe-concised,trainer-bopomofo,ㄒㄧㄣ1 ㄌㄧ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
190,943,條件,moe-concised,trainer-bopomofo,ㄊㄧㄠ2 ㄐㄧㄢ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
191,944,影片,moe-concised,trainer-bopomofo,ㄧㄥ3 ㄆㄧㄢ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
192,945,空氣,moe-concised,trainer-bopomofo,ㄎㄨㄥ1 ㄑㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
193,947,申請,moe-concised,trainer-bopomofo,ㄕㄣ1 ㄑㄧㄥ3,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
194,949,公里,moe-concised,trainer-bopomofo,ㄍㄨㄥ1 ㄌㄧ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
195,953,結構,moe-concised,trainer-bopomofo,ㄐㄧㄝ2 ㄍㄡ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
196,955,位置,moe-concised,trainer-bopomofo,ㄨㄟ4 ㄓ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
197,962,遊戲,moe-concised,trainer-bopomofo,ㄧㄡ2 ㄒㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
198,963,進,moe-concised,trainer-bopomofo,ㄐㄧㄣ4,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
199,967,校長,moe-concised,trainer-bopomofo,ㄒㄧㄠ4 ㄓㄤ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
200,968,如今,moe-concised,trainer-bopomofo,ㄖㄨ2 ㄐㄧㄣ1,approved-existing-schema,temporal,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
201,970,責任,moe-concised,trainer-bopomofo,ㄗㄜ2 ㄖㄣ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
202,972,下來,moe-concised,trainer-bopomofo,ㄒㄧㄚ4 ㄌㄞ2,approved-existing-schema,intransitive-predicate,intransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
203,975,農業,moe-concised,trainer-bopomofo,ㄋㄨㄥ2 ㄧㄝ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
204,976,永遠,moe-concised,trainer-bopomofo,ㄩㄥ3 ㄩㄢ3,approved-existing-schema,temporal,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
205,977,集團,moe-concised,trainer-bopomofo,ㄐㄧ2 ㄊㄨㄢ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
206,978,黑,moe-concised,trainer-bopomofo,ㄏㄟ1,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
207,980,呈現,moe-concised,trainer-bopomofo,ㄔㄥ2 ㄒㄧㄢ4,approved-existing-schema,object;intransitive-predicate;transitive-predicate;verb,ambitransitive,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
208,982,主題,moe-concised,trainer-bopomofo,ㄓㄨ3 ㄊㄧ2,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
209,985,豐富,moe-concised,trainer-bopomofo,ㄈㄥ1 ㄈㄨ4,approved-existing-schema,adjectival-predicate,adjectival,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
210,991,狗,moe-concised,trainer-bopomofo,ㄍㄡ3,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
211,994,目的,moe-concised,trainer-bopomofo,ㄇㄨ4 ㄉㄧ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
212,996,信,moe-concised,trainer-bopomofo,ㄒㄧㄣ4,approved-existing-schema,subject;object,none,lexical-prompt,Automatically approved by statistical heuristic; not manually reviewed
